"id","freq","m","H_init","rho_init","H_opt","rho_opt","value","counts","convergence","message","time_Min"
63,"1Min",1440,0.05,0.1,0.443944153833293,0.001,-4.19511581136256,"52;52",0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",7.98378333333333
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,"1Min",1440,0.05,1.5,0.001,0.780975979227839,-3.54876082223461,"7;7",0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.04578333333333
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,"1Min",1440,0.1,1,0.99,0.001,-4.1886089094671,"11;11",0,"CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL",1.70175
70,"1Min",1440,0.1,1.5,0.001,0.780975978189316,-3.54876082223567,"7;7",0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.04671666666667
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,"1Min",1440,0.2,1.5,0.001,0.780975977939534,-3.54876082223568,"7;7",0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.0578
76,"1Min",1440,0.3,0.005,0.443945268411718,0.001,-4.19511581136425,"33;33",0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",5.52985
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,"1Min",1440,0.3,0.1,0.443945157749676,0.001,-4.19511581136414,"32;32",0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",5.1393
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,"1Min",1440,0.3,1.5,0.001,0.78097597827291,-3.54876082223576,"7;7",0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.2684
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,"1Min",1440,0.4,1,0.443947727691552,0.001,-4.19511581136384,"68;68",0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",9.57891666666667
85,"1Min",1440,0.4,1.5,0.001,0.780975978114062,-3.54876082223593,"7;7",0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",1.05085
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,"1Min",1440,0.5,1,0.443948219539492,0.001,-4.19511581136308,"42;42",0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",6.82898333333333
90,"1Min",1440,0.5,1.5,0.443931440589367,0.001,-4.19511581126029,"61;61",0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",8.63043333333333
91,"1Min",1440,0.6,0.005,0.443947418313389,0.001,-4.19511581136421,"28;28",0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",4.06496666666667
92,"1Min",1440,0.6,0.01,0.443947849174519,0.001,-4.19511581136368,"31;31",0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",4.6586
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,"1Min",1440,0.6,1.5,0.99,0.001,-4.1886089094671,"3;3",0,"CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL",0.2927
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,"1Min",1440,0.7,0.1,0.99,0.001,-4.1886089094671,"4;4",0,"CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL",0.381166666666665
99,"1Min",1440,0.7,1,0.99,0.001,-4.1886089094671,"3;3",0,"CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL",0.288400000000001
100,"1Min",1440,0.7,1.5,0.99,0.001,-4.1886089094671,"3;3",0,"CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL",0.291533333333333
101,"1Min",1440,0.8,0.005,0.44394585205846,0.001,-4.19511581136467,"42;42",0,"CONVERGENCE: REL_REDUCTION_OF_F <= FACTR*EPSMCH",5.5816
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,"1Min",1440,0.8,0.1,0.99,0.001,-4.1886089094671,"2;2",0,"CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL",0.224916666666669
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,"1Min",1440,0.8,1.5,0.99,0.001,-4.1886089094671,"3;3",0,"CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL",0.292333333333336
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,"1Min",1440,0.9,1,0.99,0.001,-4.1886089094671,"3;3",0,"CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL",0.308566666666667
110,"1Min",1440,0.9,1.5,0.99,0.001,-4.1886089094671,"3;3",0,"CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL",0.292316666666666
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
